id,year,M,W,total,group,supply
70636,2068,1,3,4,L,28.85746954238475
132615,2067,4,2,6,E,29.22556536096038
23807,2067,3,1,4,Q,29.323886508649675
157711,2068,5,0,5,N,28.712127084395043
143217,2068,2,3,5,Q,28.89860267271931
116663,2068,2,2,4,J,29.01197032098492
119777,2068,7,2,9,K,28.86354890669088
139651,2067,6,2,8,E,29.15752253791592
56763,2068,7,2,9,M,28.92285346650112
118101,2067,4,4,8,E,29.28382663952856
77829,2068,3,4,7,Q,28.97964450499755
101124,2067,4,3,7,F,29.43193809477903
140602,2068,2,4,6,M,29.19560300444245
123725,2067,2,2,4,M,29.181468355742272
180552,2068,5,3,8,P,28.987165204090807
35507,2068,2,2,4,N,28.980589264610924
98666,2067,5,0,5,N,29.310524242698087
111597,2067,6,0,6,N,29.23853509638842
142159,2068,4,2,6,M,28.98927016799212
107260,2067,4,2,6,P,29.394440843557884
21140,2068,6,0,6,M,28.78469915063573
171034,2067,30,4,34,N,29.374759210210573
29130,2068,7,2,9,J,28.851714624411056
60998,2068,5,1,6,D,28.760909925573568
57429,2068,5,0,5,D,28.837783114901782
117441,2068,5,1,6,P,28.78128137682621
107439,2068,6,0,6,N,29.066483651421184
86639,2067,5,2,7,H,29.377117460866405
169609,2067,2,2,4,J,28.98292549302794
34479,2068,2,3,5,J,28.60384708574517
169846,2067,7,1,8,M,29.258425184585597
87888,2068,5,1,6,D,28.84009844869296
117960,2068,4,2,6,E,29.093141398112543
92537,2068,2,2,4,J,28.717947141868645
55606,2068,4,2,6,S,28.56363219845005
159039,2067,4,1,5,E,28.928847154365396
127073,2068,4,2,6,S,28.775697078114572
31388,2068,2,1,3,Q,29.11355445672708
117067,2068,4,3,7,I,28.86926809642668
49655,2067,6,1,7,E,29.227585364159932
108524,2067,2,2,4,N,29.221185530343465
99435,2068,6,3,9,P,28.71939888895054
53551,2067,4,0,4,Q,29.298040006049305
60200,2067,3,3,6,P,29.144700170665832
107439,2067,3,2,5,N,29.304395895522426
148965,2067,4,2,6,M,29.36565980029225
143515,2067,2,1,3,E,28.848656460054016
174302,2068,10,2,12,D,29.019107386343965
167329,2068,4,2,6,M,29.03862485928764
166511,2067,5,1,6,E,29.223541398364823
32414,2068,6,1,7,Q,28.87634002792831
128204,2067,7,2,9,P,28.884962606634588
88851,2068,6,2,8,M,28.812233561977354
174855,2067,1,1,2,P,29.26614828303232
82403,2068,9,1,10,A,29.03527269705165
160369,2068,7,0,7,P,29.183144185594056
112063,2068,3,2,5,Q,28.83031316234718
62968,2067,2,2,4,E,29.26915999968377
169442,2067,7,2,9,D,29.57505820600677
75699,2068,7,0,7,E,28.766483403063035
58797,2068,3,4,7,E,28.985061627106933
115643,2067,2,0,2,N,29.209734181741467
49002,2068,5,2,7,Q,28.76787369690785
21256,2067,6,2,8,N,29.085575871748738
34241,2068,8,2,10,D,29.046815416829748
45597,2067,6,2,8,E,29.10201289980512
66484,2067,6,3,9,M,29.1783952833578
93366,2067,8,1,9,M,29.41185357246162
130612,2068,5,0,5,P,28.645756089997995
22799,2068,4,0,4,N,28.82502545524024
113370,2068,3,2,5,E,29.09689305177148
96585,2068,6,2,8,N,29.092943259060064
136486,2067,6,1,7,M,29.121519925717045
137372,2067,6,2,8,M,29.130432700227537
172086,2068,4,2,6,D,28.656325718231564
33304,2067,2,3,5,Q,29.226606451607022
170262,2068,4,1,5,J,28.94844920202843
128706,2067,9,0,9,E,29.40332355551108
119264,2067,1,1,2,E,29.137317527984514
98376,2068,5,2,7,A,28.850157315176983
24320,2068,5,3,8,N,28.890409643603917
115959,2067,8,2,10,Q,29.037653010631093
120512,2068,2,3,5,J,29.03955553818062
91848,2067,2,3,5,J,29.04953285537343
45126,2068,4,1,5,E,28.96316694571857
93649,2067,2,3,5,P,29.20196425141494
74130,2068,5,2,7,Q,28.996160836213303
131154,2067,8,1,9,E,29.096749495666728
91879,2068,9,1,10,E,28.823914416019687
120362,2068,5,1,6,J,29.02548492822281
29183,2068,2,2,4,M,29.02787649238572
160461,2067,4,2,6,Q,29.188715062795296
39537,2068,7,1,8,A,28.86908257642772
181683,2067,1,2,3,Q,29.228196156110982
66121,2068,11,2,13,D,28.789474028495235
92899,2067,6,2,8,Q,29.08904880989429
171327,2068,3,2,5,E,28.871900164929656
175054,2067,8,0,8,E,29.10350314673421
53797,2067,4,2,6,D,29.158078326086645
67212,2067,2,1,3,E,29.31010768814157
38292,2067,2,0,2,C,29.33833526771708
176628,2067,3,2,5,N,29.30400335502515
57020,2067,4,2,6,M,29.0814777182887
36595,2068,4,2,6,J,28.65883912504052
71042,2068,6,2,8,K,28.76024398872161
109631,2068,6,2,8,E,28.644439671755464
116774,2067,4,1,5,Q,28.88489811023504
18218,2068,5,2,7,P,28.875073610173217
90667,2068,6,2,8,Q,28.60250850859637
74209,2068,5,0,5,E,28.887958210147676
53947,2068,3,1,4,M,28.767879820389325
30636,2067,4,3,7,I,28.88299532514867
27337,2067,6,1,7,D,29.19603919525892
51886,2067,2,4,6,M,29.14957490415868
129711,2068,3,3,6,N,29.18579405109789
124521,2067,6,1,7,M,29.10283997998853
104955,2068,8,0,8,M,28.896762562094857
56428,2067,3,1,4,J,29.02975134928633
70848,2068,3,1,4,K,29.149379589877057
63556,2067,6,1,7,D,29.102512977434507
25252,2067,5,1,6,E,29.145016453746276
139732,2068,3,2,5,J,28.94024461446801
45453,2068,5,2,7,E,28.93656360347809
149554,2068,8,1,9,M,28.477515706798616
127335,2068,2,0,2,M,28.82248847818715
139709,2068,4,2,6,K,28.92239831587267
101349,2067,5,1,6,N,29.3473998923431
35495,2067,2,4,6,M,29.546583575076856
164694,2067,3,4,7,E,29.480364089236744
87263,2067,8,1,9,L,29.45113927743481
31953,2067,2,3,5,E,29.10161121196327
31989,2068,9,3,12,F,28.82948912374865
135845,2068,4,0,4,J,29.21472182807324
115897,2068,6,0,6,N,28.829886676657463
121096,2067,4,2,6,D,29.436542923997035
145767,2068,5,1,6,M,28.80735798951546
144437,2067,2,3,5,J,28.975627506730003
142038,2067,3,3,6,M,29.11957503340911
144965,2068,5,1,6,M,28.90128576608972
179645,2067,4,1,5,J,28.891610665441235
55943,2068,5,1,6,K,29.052522481000747
56689,2068,3,1,4,K,28.99685830305613
179648,2067,8,0,8,D,29.20318545056309
40439,2068,4,2,6,Q,28.80100911289286
40130,2067,6,2,8,I,29.06250754106344
41762,2067,3,3,6,M,29.21033706473672
173105,2068,7,1,8,L,28.793474371702896
92904,2068,12,4,16,J,28.472068762088785
87183,2067,6,0,6,P,28.995774851342336
86962,2068,3,1,4,N,28.952496385427235
123224,2068,3,2,5,I,28.69240354794291
142763,2068,3,0,3,P,28.831928357165
103835,2068,6,2,8,N,29.025648266209014
54904,2067,2,1,3,Q,29.196980641836465
173114,2068,3,2,5,Q,28.622053521138422
120786,2067,3,1,4,N,29.09784127770888
139106,2068,5,3,8,M,28.86300806820455
65669,2067,3,2,5,N,29.218833320225706
59782,2067,3,1,4,M,29.430082316189548
36073,2067,5,0,5,P,29.26157046311706
122472,2068,2,4,6,N,28.992350353366035
126346,2068,3,0,3,N,28.83032817302815
82451,2068,3,2,5,J,28.76269999118666
20893,2067,8,0,8,F,29.12490140064365
125187,2067,2,4,6,M,29.26540068051403
63781,2068,4,0,4,Q,28.96509937556625
83484,2067,2,2,4,M,29.36864358251388
119082,2068,1,3,4,N,28.68103388740061
167422,2068,7,1,8,M,28.863533011752576
40775,2068,3,3,6,M,29.110800339171423
27616,2068,6,2,8,H,28.440587528192022
131380,2068,5,2,7,N,29.0906521318928
119125,2068,10,5,15,E,28.741400511555568
55323,2068,5,2,7,J,28.779323111542517
117968,2067,3,1,4,H,29.12248965295416
138080,2068,2,1,3,Q,28.76370356800201
162694,2067,7,2,9,N,29.14752971668137
106148,2067,5,0,5,E,29.062386472038707
69144,2067,6,3,9,Q,29.090628814061265
54801,2067,7,1,8,N,29.33660305496199
52621,2067,3,1,4,K,28.948443419444533
170627,2067,5,0,5,E,28.96630708180406
111820,2067,2,2,4,J,29.203801933566847
164868,2068,2,3,5,K,28.92224516033741
21071,2068,4,1,5,M,28.907081933865527
147261,2068,3,2,5,M,28.785283732818545
149999,2068,2,4,6,N,28.641477474152765
39679,2067,6,2,8,N,29.2575364392779
159164,2068,7,1,8,N,28.82049168490162
35464,2068,3,2,5,A,28.92263129987707
130262,2068,5,1,6,N,28.891485905307267
29167,2068,4,1,5,E,29.007164943000102
100805,2068,5,0,5,E,28.597640852066537
160637,2067,2,3,5,S,29.218971142478576
61500,2068,3,2,5,E,28.83646067600308
129022,2067,4,1,5,M,28.969374644399533
127690,2068,8,3,11,M,28.844379751039945
57602,2068,3,0,3,N,29.03714202479904
22918,2068,3,2,5,J,29.17737991472852
60547,2067,10,1,11,N,29.410340562352896
86916,2068,2,1,3,A,28.74544714846315
171530,2068,6,0,6,J,28.970811010802045
110144,2068,6,0,6,C,29.00369659176344
118777,2068,6,2,8,P,28.57670875188139
126702,2068,4,4,8,N,28.92119735338733
137308,2068,6,1,7,P,28.658446263438485
62131,2068,6,1,7,S,28.763863196926405
56317,2067,4,0,4,S,29.326475371377832
180959,2067,4,2,6,M,29.247783588366023
86365,2068,4,1,5,E,29.1327083183158
167365,2068,5,1,6,M,28.556253615810768
28175,2068,5,3,8,E,28.69262453621253
50720,2068,5,1,6,N,28.697027856818345
111542,2068,6,0,6,E,28.906188259814364
163525,2068,5,2,7,J,28.78646951647608
40597,2067,3,1,4,D,29.12272626969668
163544,2068,3,2,5,M,28.75940825777593
35286,2068,4,0,4,D,28.751558715264213
75877,2068,3,1,4,D,28.9987805572489
144175,2067,5,1,6,Q,29.339961546406997
61332,2068,8,2,10,N,28.51596251328638
181476,2068,7,1,8,S,28.84839055394936
159769,2068,4,1,5,Q,29.111950376526146
177626,2067,2,1,3,M,29.280708123828315
90278,2068,5,2,7,M,28.769319404868057
45885,2067,2,1,3,J,29.156954643747216
107937,2067,5,1,6,E,29.23148438763777
151465,2068,3,2,5,M,28.86401656855883
144609,2068,5,0,5,M,28.932937651503487
120928,2067,5,1,6,J,29.37060579320517
128618,2067,3,2,5,M,29.330646277456445
146351,2067,4,0,4,M,29.163184080552803
133930,2068,4,0,4,S,29.064441004883847
143871,2068,5,0,5,P,28.811161615873225
171408,2068,2,3,5,E,28.483573062339065
110774,2068,5,0,5,N,28.71623862339192
123885,2068,2,2,4,A,28.903086752383487
167449,2067,2,3,5,M,28.99612870301071
132354,2068,5,3,8,M,28.618206099057048
68341,2067,3,2,5,J,29.427708503095367
72983,2068,3,0,3,J,28.951558581072664
81947,2067,8,3,11,Q,29.09239584073073
161518,2068,5,1,6,E,29.28392458868748
176847,2067,3,3,6,P,29.134117568237265
109153,2068,5,3,8,J,28.72646573424616
165304,2067,2,1,3,Q,29.378667436871595
33130,2067,6,0,6,K,29.14165179877636
32430,2068,1,2,3,E,28.89686215904874
56918,2068,5,2,7,M,28.76398722160021
145617,2068,6,1,7,D,28.99102293922653
82320,2067,6,1,7,D,29.122728427189852
76396,2067,3,1,4,E,28.875145346549424
140478,2067,7,0,7,C,29.23932044768385
158166,2068,5,2,7,E,28.76371777735215
19000,2068,4,0,4,D,28.670529272046625
126445,2067,5,2,7,J,29.38315825728841
71201,2068,1,2,3,N,29.02505106299433
165328,2068,3,1,4,M,28.78851839670452
55018,2068,2,3,5,M,28.7129414808756
92141,2068,5,3,8,N,29.151490271105526
46207,2067,8,0,8,A,28.925925536589386
121974,2067,4,2,6,N,29.30804495310497
36447,2068,1,3,4,I,28.992910931019257
90612,2068,5,1,6,Q,28.5038099972484
99339,2068,3,2,5,N,28.74307434750232
165486,2067,2,1,3,M,29.34163965037721
19725,2067,2,0,2,J,29.212974557429263
24602,2067,3,3,6,D,29.229694717896837
147791,2068,5,2,7,M,28.617612490773038
83448,2068,3,3,6,N,29.091397591541146
73135,2068,4,2,6,K,28.946898566645874
21540,2068,4,1,5,E,28.773830524907584
144224,2067,6,1,7,M,29.173263851897115
68777,2068,5,1,6,I,28.908405812675596
20170,2067,5,2,7,E,29.39966695047322
23450,2068,2,3,5,E,28.898735154335643
31475,2067,3,2,5,R,29.404325764769567
150033,2068,5,2,7,P,28.77267358416219
112677,2067,4,0,4,J,29.11314737036769
66215,2067,25,6,31,E,29.565086364846035
79039,2068,6,1,7,N,29.092997287965773
46629,2068,6,1,7,D,28.663038741794217
180162,2068,10,1,11,H,28.86089800732693
101603,2068,3,1,4,E,28.84862044180804
129444,2068,4,0,4,Q,28.677244373332687
158635,2067,4,2,6,Q,29.13973447792723
104407,2067,5,4,9,L,29.21228305066748
160517,2067,3,2,5,E,29.14923553072032
124895,2067,5,0,5,M,29.107378495055624
169284,2068,5,1,6,E,29.18555958655673
100343,2068,1,2,3,N,28.65202927070852
65167,2068,4,1,5,D,28.45835200887609
17426,2067,5,0,5,P,29.18672612813411
58742,2068,3,1,4,M,28.812499664208406
125007,2067,6,1,7,H,28.98547628482228
69255,2068,5,1,6,D,28.776961327547205
170216,2068,12,2,14,D,29.10725254063142
101851,2068,3,3,6,D,28.98194323664088
180008,2067,7,4,11,P,29.52005494143691
100594,2068,9,2,11,P,29.00691898490236
83476,2068,5,0,5,C,29.03452880327256
71634,2068,3,1,4,D,28.84749187969752
20332,2068,4,0,4,D,28.83256255320352
135084,2068,2,2,4,J,28.62816340279613
170473,2068,6,2,8,Q,28.93211600242152
113404,2067,6,2,8,M,29.326840994169007
131473,2067,7,2,9,J,29.105528927624505
140214,2068,3,3,6,P,28.93611905803613
122579,2068,2,3,5,E,29.177695258159407
16584,2068,2,2,4,P,28.454447949331907
114946,2068,7,0,7,P,28.83792090415652
93304,2068,6,2,8,Q,29.10070493544141
21746,2067,6,2,8,E,29.216448553713928
165286,2067,3,2,5,A,29.177163647518004
115528,2067,2,0,2,D,29.448090327119225
157972,2067,8,2,10,A,29.22558563378044
96006,2067,7,2,9,Q,28.878016324532755
118633,2068,2,1,3,K,28.87808424602064
181159,2068,3,3,6,Q,28.68928222661784
144790,2067,5,4,9,N,29.270430061675988
134499,2067,6,2,8,Q,29.000070640432178
137289,2067,2,2,4,P,29.199307417797183
92950,2067,4,0,4,D,29.30249051088127
55945,2067,5,0,5,Q,28.91482844824391
143123,2067,6,1,7,M,29.158310342004704
78471,2067,3,1,4,Q,29.40143534022528
109386,2067,2,3,5,N,29.38317649998517
138203,2067,7,1,8,E,29.56873594706392
53832,2068,3,1,4,Q,29.240316157422157
108497,2067,9,0,9,P,28.95028613233653
124712,2067,2,0,2,K,29.32100373720837
134975,2067,1,3,4,E,29.088632801199218
25982,2068,2,2,4,A,28.679181606339995
69331,2067,5,2,7,E,29.41734357225923
66678,2067,6,2,8,Q,29.4046400890936
158176,2067,7,2,9,E,29.238308541246912
26254,2068,9,1,10,D,28.84644459425696
76391,2068,3,3,6,M,28.90924077733783
144554,2068,4,2,6,M,28.778738299852044
108749,2067,5,2,7,E,29.23918802835185
30635,2068,4,3,7,Q,28.57955378501677
51259,2067,5,2,7,Q,29.386883992890283
176835,2068,8,0,8,E,28.88234212830126
101399,2067,4,2,6,Q,29.14664365562428
27077,2068,2,2,4,J,28.680540131526683
123221,2068,5,1,6,E,28.913159427464866
135738,2067,4,2,6,J,28.97150086376017
86313,2068,6,0,6,E,28.48151650051188
134647,2067,6,2,8,K,29.22623446889865
38168,2068,1,2,3,E,28.66957744481652
129282,2068,5,0,5,M,28.731612129520844
135211,2067,4,0,4,E,29.60344915813324
41239,2068,3,1,4,K,28.904935146400167
144876,2068,10,1,11,N,29.17821076282065
158844,2068,3,1,4,E,28.667509217407726
84102,2067,4,5,9,S,28.963232307274545
51468,2068,6,0,6,N,28.51817630443824
68668,2067,5,1,6,D,29.43733912204253
136104,2068,5,3,8,P,28.832069053578508
56460,2067,6,2,8,M,29.147808837802152
111978,2067,7,1,8,N,29.06749877834028
136933,2068,4,1,5,Q,28.56508927665758
51574,2068,7,2,9,E,28.902494047598587
130201,2067,3,1,4,E,28.84749089998818
118368,2068,15,6,21,P,28.836318456852418
72034,2067,4,2,6,J,29.543630129852698
131941,2067,4,2,6,H,29.26530865629619
77341,2067,4,2,6,E,29.11505100470001
169298,2068,6,1,7,D,29.105328125271125
169619,2067,4,2,6,N,29.68833551163717
135452,2068,9,2,11,E,28.62185370662315
135867,2068,4,2,6,M,29.14417821843616
100167,2068,6,0,6,E,29.15332324434446
95045,2068,10,1,11,Q,29.180400255673035
92511,2068,4,2,6,F,28.787080551144587
70693,2068,6,2,8,M,28.970788235713105
169852,2068,1,3,4,Q,28.865176711935327
69006,2068,5,5,10,S,28.696291624975668
32914,2067,5,1,6,E,29.207532788708438
17961,2068,6,2,8,A,29.04755780776076
37075,2067,5,1,6,E,29.068241450051858
77403,2067,2,2,4,J,29.22958036479902
172971,2067,3,1,4,N,29.169494326956656
77698,2068,3,2,5,E,28.84260361003344
28091,2068,2,0,2,Q,28.75560567823519
103590,2067,3,2,5,N,29.27965263361228
29620,2067,3,1,4,Q,29.16783780550005
165380,2067,6,2,8,N,28.96060468548808
72963,2068,6,2,8,J,28.837823087245944
185037,2068,11,4,15,P,28.89660323093999
30011,2068,9,4,13,I,28.72262290417032
148777,2068,6,2,8,M,28.78794879437493
30313,2068,17,2,19,E,28.65921027990733
115259,2068,7,0,7,M,29.12043824140788
96120,2068,5,1,6,S,28.964483798389995
44411,2068,5,2,7,N,28.833183441776917
37229,2068,3,4,7,P,28.91241088802276
120000,2068,6,2,8,E,28.83761624383365
103301,2068,7,0,7,J,28.84598405561086
167237,2067,5,3,8,J,28.98338528241424
98636,2067,5,1,6,J,29.33419077779412
161632,2067,2,1,3,E,29.54564271499476
83126,2068,2,2,4,E,29.11837059085027
136108,2068,3,3,6,E,29.458531106765687
142524,2068,6,2,8,P,28.706631845938183
159830,2067,3,2,5,S,29.06197384839385
68941,2067,8,4,12,E,29.258104279919294
23791,2067,6,2,8,Q,28.976745752281865
41250,2067,4,1,5,Q,29.095895645457844
139768,2067,5,0,5,Q,29.23115469028489
122065,2067,5,1,6,Q,28.52935415429608
139057,2067,5,1,6,P,29.261387164933765
94035,2068,5,2,7,E,28.6830046611414
21737,2068,7,1,8,E,28.935644172783785
171099,2067,7,1,8,E,29.08034339174942
141155,2067,5,2,7,E,29.02395675757816
40011,2067,4,2,6,E,29.21105299019875
38132,2068,2,3,5,J,29.020983851231552
73957,2067,7,0,7,N,29.104583346472705
60012,2068,5,1,6,E,29.30583832718368
132642,2067,5,2,7,N,29.402529857589872
112824,2068,6,1,7,E,28.648773395559772
141824,2067,5,1,6,M,29.10836738717501
21104,2068,2,3,5,Q,28.97109460950158
129008,2068,4,1,5,E,28.70082227889333
62187,2068,4,2,6,Q,29.03090239028366
64762,2067,5,2,7,N,29.354568201941003
29693,2067,4,1,5,K,29.491959441363505
121512,2067,5,3,8,E,29.006881652802846
94160,2068,9,1,10,Q,28.911842717800692
117581,2068,12,1,13,N,28.978491547217285
45018,2067,2,1,3,E,29.08220555034406
177638,2068,6,0,6,Q,28.970764021370027
113956,2068,5,0,5,E,28.919563181732507
158765,2068,3,2,5,D,28.923530758862437
81666,2068,3,0,3,A,28.979295629864247
41635,2068,3,2,5,C,28.737727446367167
113202,2067,5,3,8,L,29.26774697640445
182284,2068,7,2,9,E,28.981679202673572
144957,2067,4,0,4,M,29.09462269274423
171219,2067,3,2,5,A,29.01033380984072
139382,2068,6,0,6,E,28.78655112946443
21553,2067,6,0,6,M,29.030034367452792
89253,2067,5,2,7,J,29.220184763869003
18402,2068,2,4,6,Q,28.7494869118502
82547,2068,7,3,10,A,28.62345366228341
101750,2067,2,3,5,J,29.134028759680607
32825,2067,3,2,5,E,29.372094323438358
53905,2068,6,1,7,N,28.843159298576985
21018,2068,7,1,8,N,28.746979365479884
124428,2067,5,1,6,E,29.16671673864774
93827,2068,6,2,8,J,29.102389805688947
46247,2068,8,2,10,A,28.78667831805251
159457,2067,9,2,11,H,29.17206757072877
102436,2067,4,4,8,K,29.25106278055018
125220,2068,3,2,5,P,28.85389334156362
123747,2068,4,0,4,N,28.96555548718356
71751,2068,5,1,6,E,29.009700923803376
28780,2067,5,1,6,E,29.543284212342527
106422,2068,6,0,6,J,28.74361933938241
163392,2068,7,1,8,N,29.087984833857583
17694,2067,1,1,2,N,29.281590866766376
138291,2068,2,0,2,N,28.62234198602873
96620,2068,0,3,3,S,28.775753151866105
138838,2068,1,1,2,N,29.003526835163683
25760,2068,15,0,15,P,28.602626833329687
114402,2068,3,1,4,J,28.991190244833035
